"parameter","time","value","statistic","method"
"p: I->R",12,0.00177503821939109,"seMSE","LW99"
"r: S->I",12,0.00832679352722944,"seMSE","LW99"
"r: I->R",12,0.00854355341810828,"seMSE","LW99"
"S",13,164.312904200446,"seMSE","LW99"
"I",13,153.439141926907,"seMSE","LW99"
"R",13,54.5923022288519,"seMSE","LW99"
"p: S->I",13,0.0013230959617356,"seMSE","LW99"
"p: I->R",13,0.0014854535004654,"seMSE","LW99"
"r: S->I",13,0.00822788835785596,"seMSE","LW99"
"r: I->R",13,0.00820231132209705,"seMSE","LW99"
"S",14,152.285417168193,"seMSE","LW99"
"I",14,124.603821204607,"seMSE","LW99"
"R",14,71.3845980283245,"seMSE","LW99"
"p: S->I",14,0.00128165494436129,"seMSE","LW99"
"p: I->R",14,0.00173286714598912,"seMSE","LW99"
"r: S->I",14,0.00829873430847916,"seMSE","LW99"
"r: I->R",14,0.00850743482213443,"seMSE","LW99"
"S",15,176.986643365812,"seMSE","LW99"
"I",15,142.521295982676,"seMSE","LW99"
"R",15,83.8291542719928,"seMSE","LW99"
"p: S->I",15,0.0013217946544716,"seMSE","LW99"
"p: I->R",15,0.00168013366945435,"seMSE","LW99"
"r: S->I",15,0.00814716952782539,"seMSE","LW99"
"r: I->R",15,0.00807271970484473,"seMSE","LW99"
"S",16,147.93949506914,"seMSE","LW99"
"I",16,133.62009855183,"seMSE","LW99"
"R",16,97.1139453621424,"seMSE","LW99"
"p: S->I",16,0.00125666387379091,"seMSE","LW99"
"p: I->R",16,0.0016815592195475,"seMSE","LW99"
